Anexo;Código;Fator R;Alíquota;Atendido;Descrição
I;0111-3/01;Não;4.0;Não;Cultivo de arroz
I;0111-3/02;Não;4.0;Não;Cultivo de milho
I;0111-3/03;Não;4.0;Não;Cultivo de trigo
I;0111-3/99;Não;4.0;Não;Cultivo de outros cereais não especificados anteriormente
I;0112-1/01;Não;4.0;Não;Cultivo de algodão herbáceo
I;0112-1/02;Não;4.0;Não;Cultivo de juta
I;0112-1/99;Não;4.0;Não;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
I;0113-0/00;Não;4.0;Não;Cultivo de cana-de-açúcar
I;0114-8/00;Não;4.0;Não;Cultivo de fumo
I;0115-6/00;Não;4.0;Não;Cultivo de soja
I;0116-4/01;Não;4.0;Não;Cultivo de amendoim
I;0116-4/02;Não;4.0;Não;Cultivo de girassol
I;0116-4/03;Não;4.0;Não;Cultivo de mamona
I;0116-4/99;Não;4.0;Não;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
I;0119-9/01;Não;4.0;Não;Cultivo de abacaxi
I;0119-9/02;Não;4.0;Não;Cultivo de alho
I;0119-9/03;Não;4.0;Não;Cultivo de batata-inglesa
I;0119-9/04;Não;4.0;Não;Cultivo de cebola
I;0119-9/05;Não;4.0;Não;Cultivo de feijão
I;0119-9/06;Não;4.0;Não;Cultivo de mandioca
I;0119-9/07;Não;4.0;Não;Cultivo de melão
I;0119-9/08;Não;4.0;Não;Cultivo de melancia
I;0119-9/09;Não;4.0;Não;Cultivo de tomate rasteiro
I;0119-9/99;Não;4.0;Não;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
I;0121-1/01;Não;4.0;Não;Horticultura, exceto morango
I;0121-1/02;Não;4.0;Não;Cultivo de morango
I;0122-9/00;Não;4.0;Não;Cultivo de flores e plantas ornamentais
I;0131-8/00;Não;4.0;Não;Cultivo de laranja
I;0132-6/00;Não;4.0;Não;Cultivo de uva
I;0133-4/01;Não;4.0;Não;Cultivo de açaí
I;0133-4/02;Não;4.0;Não;Cultivo de banana
I;0133-4/03;Não;4.0;Não;Cultivo de caju
I;0133-4/04;Não;4.0;Não;Cultivo de cítricos, exceto laranja
I;0133-4/05;Não;4.0;Não;Cultivo de coco-da-baía
I;0133-4/06;Não;4.0;Não;Cultivo de guaraná
I;0133-4/07;Não;4.0;Não;Cultivo de maçã
I;0133-4/08;Não;4.0;Não;Cultivo de mamão
I;0133-4/09;Não;4.0;Não;Cultivo de maracujá
I;0133-4/10;Não;4.0;Não;Cultivo de manga
I;0133-4/11;Não;4.0;Não;Cultivo de pêssego
I;0133-4/99;Não;4.0;Não;Cultivo de frutas de lavoura permanente não especificadas anteriormente
I;0134-2/00;Não;4.0;Não;Cultivo de café
I;0135-1/00;Não;4.0;Não;Cultivo de cacau
I;0139-3/01;Não;4.0;Não;Cultivo de chá-da-índia
I;0139-3/02;Não;4.0;Não;Cultivo de erva-mate
I;0139-3/03;Não;4.0;Não;Cultivo de pimenta-do-reino
I;0139-3/04;Não;4.0;Não;Cultivo de plantas para condimento, exceto pimenta-do-reino
I;0139-3/05;Não;4.0;Não;Cultivo de dendê
I;0139-3/06;Não;4.0;Não;Cultivo de seringueira
I;0139-3/99;Não;4.0;Não;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
I;0141-5/01;Não;4.0;Não;Produção de sementes certificadas, exceto de forrageiras para pasto
I;0141-5/02;Não;4.0;Não;Produção de sementes certificadas de forrageiras para formação de pasto
I;0142-3/00;Não;4.0;Não;Produção de mudas e outras formas de propagação vegetal, certificadas
I;0151-2/01;Não;4.0;Não;Criação de bovinos para corte
I;0151-2/02;Não;4.0;Não;Criação de bovinos para leite
I;0151-2/03;Não;4.0;Não;Criação de bovinos, exceto para corte e leite
I;0152-1/01;Não;4.0;Não;Criação de bufalinos
I;0152-1/02;Não;4.0;Não;Criação de eqüinos
I;0152-1/03;Não;4.0;Não;Criação de asininos e muares
I;0153-9/01;Não;4.0;Não;Criação de caprinos
I;0153-9/02;Não;4.0;Não;Criação de ovinos, inclusive para produção de lã
I;0154-7/00;Não;4.0;Não;Criação de suínos
I;0155-5/01;Não;4.0;Não;Criação de frangos para corte
I;0155-5/02;Não;4.0;Não;Produção de pintos de um dia
I;0155-5/03;Não;4.0;Não;Criação de outros galináceos, exceto para corte
I;0155-5/04;Não;4.0;Não;Criação de aves, exceto galináceos
I;0155-5/05;Não;4.0;Não;Produção de ovos
I;0159-8/01;Não;4.0;Não;Apicultura
I;0159-8/02;Não;4.0;Não;Criação de animais de estimação
I;0159-8/03;Não;4.0;Não;Criação de escargô
I;0159-8/04;Não;4.0;Não;Criação de bicho-da-seda
I;0159-8/99;Não;4.0;Não;Criação de outros animais não especificados anteriormente
III;0161-0/01;Não;6.0;Não;Serviço de pulverização e controle de pragas agrícolas
III;0161-0/02;Não;6.0;Não;Serviço de poda de árvores para lavouras
III;0161-0/03;Não;6.0;Não;Serviço de preparação de terreno, cultivo e colheita
III;0161-0/99;Não;6.0;Não;Atividades de apoio à agricultura não especificadas anteriormente
III;0162-8/02;Não;6.0;Não;Serviço de tosquiamento de ovinos
III;0162-8/03;Não;6.0;Não;Serviço de manejo de animais
III;0162-8/99;Não;6.0;Não;Atividades de apoio à pecuária não especificadas anteriormente
III;0163-6/00;Não;6.0;Não;Atividades de pós-colheita
I;0170-9/00;Não;4.0;Não;Caça e serviços relacionados
I;0210-1/01;Não;4.0;Não;Cultivo de eucalipto
I;0210-1/02;Não;4.0;Não;Cultivo de acácia-negra
I;0210-1/03;Não;4.0;Não;Cultivo de pinus
I;0210-1/04;Não;4.0;Não;Cultivo de teca
I;0210-1/05;Não;4.0;Não;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca
I;0210-1/06;Não;4.0;Não;Cultivo de mudas em viveiros florestais
I;0210-1/07;Não;4.0;Não;Extração de madeira em florestas plantadas
I;0210-1/08;Não;4.0;Não;Produção de carvão vegetal – florestas plantadas
I;0210-1/09;Não;4.0;Não;Produção de casca de acácia-negra – florestas plantadas
I;0210-1/99;Não;4.0;Não;Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas
I;0220-9/01;Não;4.0;Não;Extração de madeira em florestas nativas
I;0220-9/02;Não;4.0;Não;Produção de carvão vegetal – florestas nativas
I;0220-9/03;Não;4.0;Não;Coleta de castanha-do-pará em florestas nativas
I;0220-9/04;Não;4.0;Não;Coleta de látex em florestas nativas
I;0220-9/05;Não;4.0;Não;Coleta de palmito em florestas nativas
I;0220-9/06;Não;4.0;Não;Conservação de florestas nativas
I;0220-9/99;Não;4.0;Não;Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas
III;0230-6/00;Não;6.0;Não;Atividades de apoio à produção florestal
I;0311-6/01;Não;4.0;Não;Pesca de peixes em água salgada
I;0311-6/02;Não;4.0;Não;Pesca de crustáceos e moluscos em água salgada
I;0311-6/03;Não;4.0;Não;Coleta de outros produtos marinhos
III;0311-6/04;Não;6.0;Não;Atividades de apoio à pesca em água salgada
I;0312-4/01;Não;4.0;Não;Pesca de peixes em água doce
I;0312-4/02;Não;4.0;Não;Pesca de crustáceos e moluscos em água doce
I;0312-4/03;Não;4.0;Não;Coleta de outros produtos aquáticos de água doce
III;0312-4/04;Não;6.0;Não;Atividades de apoio à pesca em água doce
I;0321-3/01;Não;4.0;Não;Criação de peixes em água salgada e salobra
I;0321-3/02;Não;4.0;Não;Criação de camarões em água salgada e salobra
I;0321-3/03;Não;4.0;Não;Criação de ostras e mexilhões em água salgada e salobra
I;0321-3/04;Não;4.0;Não;Criação de peixes ornamentais em água salgada e salobra
III;0321-3/05;Não;6.0;Não;Atividades de apoio à aqüicultura em água salgada e salobra
I;0321-3/99;Não;4.0;Não;Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente
I;0322-1/01;Não;4.0;Não;Criação de peixes em água doce
I;0322-1/02;Não;4.0;Não;Criação de camarões em água doce
I;0322-1/03;Não;4.0;Não;Criação de ostras e mexilhões em água doce
I;0322-1/04;Não;4.0;Não;Criação de peixes ornamentais em água doce
I;0322-1/05;Não;4.0;Não;Ranicultura
I;0322-1/06;Não;4.0;Não;Criação de jacaré
III;0322-1/07;Não;6.0;Não;Atividades de apoio à aqüicultura em água doce
I;0322-1/99;Não;4.0;Não;Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente
I;0500-3/01;Não;4.0;Não;Extração de carvão mineral
I;0500-3/02;Não;4.0;Não;Beneficiamento de carvão mineral
I;0600-0/01;Não;4.0;Não;Extração de petróleo e gás natural
I;0600-0/02;Não;4.0;Não;Extração e beneficiamento de xisto
I;0600-0/03;Não;4.0;Não;Extração e beneficiamento de areias betuminosas
I;0710-3/01;Não;4.0;Não;Extração de minério de ferro
II;0710-3/02;Não;4.5;Não;Pelotização, sinterização e outros beneficiamentos de minério de ferro
I;0721-9/01;Não;4.0;Não;Extração de minério de alumínio
II;0721-9/02;Não;4.5;Não;Beneficiamento de minério de alumínio
I;0722-7/01;Não;4.0;Não;Extração de minério de estanho
II;0722-7/02;Não;4.5;Não;Beneficiamento de minério de estanho
I;0723-5/01;Não;4.0;Não;Extração de minério de manganês
II;0723-5/02;Não;4.5;Não;Beneficiamento de minério de manganês
I;0724-3/01;Não;4.0;Não;Extração de minério de metais preciosos
II;0724-3/02;Não;4.5;Não;Beneficiamento de minério de metais preciosos
I;0725-1/00;Não;4.0;Não;Extração de minerais radioativos
I;0729-4/01;Não;4.0;Não;Extração de minérios de nióbio e titânio
I;0729-4/02;Não;4.0;Não;Extração de minério de tungstênio
I;0729-4/03;Não;4.0;Não;Extração de minério de níquel
I;0729-4/04;Não;4.0;Não;Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente
II;0729-4/05;Não;4.5;Não;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente
I;0810-0/01;Não;4.0;Não;Extração de ardósia e beneficiamento associado
I;0810-0/02;Não;4.0;Não;Extração de granito e beneficiamento associado
I;0810-0/03;Não;4.0;Não;Extração de mármore e beneficiamento associado
I;0810-0/04;Não;4.0;Não;Extração de calcário e dolomita e beneficiamento associado
I;0810-0/05;Não;4.0;Não;Extração de gesso e caulim
I;0810-0/06;Não;4.0;Não;Extração de areia, cascalho ou pedregulho e beneficiamento associado
I;0810-0/07;Não;4.0;Não;Extração de argila e beneficiamento associado
I;0810-0/08;Não;4.0;Não;Extração de saibro e beneficiamento associado
I;0810-0/09;Não;4.0;Não;Extração de basalto e beneficiamento associado
II;0810-0/10;Não;4.5;Não;Beneficiamento de gesso e caulim associado à extração
I;0810-0/99;Não;4.0;Não;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado
I;0891-6/00;Não;4.0;Não;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos
I;0892-4/01;Não;4.0;Não;Extração de sal marinho
I;0892-4/02;Não;4.0;Não;Extração de sal-gema
II;0892-4/03;Não;4.5;Não;Refino e outros tratamentos do sal
I;0893-2/00;Não;4.0;Não;Extração de gemas (pedras preciosas e semipreciosas)
I;0899-1/01;Não;4.0;Não;Extração de grafita
I;0899-1/02;Não;4.0;Não;Extração de quartzo
I;0899-1/03;Não;4.0;Não;Extração de amianto
I;0899-1/99;Não;4.0;Não;Extração de outros minerais não-metálicos não especificados anteriormente
III;0990-4/01;Não;6.0;Não;Atividades de apoio à extração de minério de ferro
III;0990-4/02;Não;6.0;Não;Atividades de apoio à extração de minerais metálicos não-ferrosos
III;0990-4/03;Não;6.0;Não;Atividades de apoio à extração de minerais não-metálicos
II;1011-2/01;Não;4.5;Não;Frigorífico – abate de bovinos
II;1011-2/02;Não;4.5;Não;Frigorífico – abate de eqüinos
II;1011-2/03;Não;4.5;Não;Frigorífico – abate de ovinos e caprinos
II;1011-2/04;Não;4.5;Não;Frigorífico – abate de bufalinos
II;1011-2/05;Não;4.5;Não;Matadouro – abate de reses sob contrato, exceto abate de suínos
II;1012-1/01;Não;4.5;Não;Abate de aves
II;1012-1/02;Não;4.5;Não;Abate de pequenos animais
II;1012-1/03;Não;4.5;Não;Frigorífico – abate de suínos
II;1012-1/04;Não;4.5;Não;Matadouro – abate de suínos sob contrato
II;1013-9/01;Não;4.5;Não;Fabricação de produtos de carne
II;1013-9/02;Não;4.5;Não;Preparação de subprodutos do abate
